country,country_name,year,graduation_rate,teacher_hours,class_size,expenditure_pct_gdp
DEU,Germany,2017,79.97999999999999,1781.5,23.807746666666663,4.77830982208252
DEU,Germany,2018,78.95,1768.5,23.933903333333333,4.88400983810425
DEU,Germany,2019,79.69000000000001,1756.25,23.765673333333336,5.02757978439331
FRA,France,2017,86.71,1607.0,23.014862,5.46482992172241
FRA,France,2018,87.92,1607.0,23.145106,5.42540979385376
FRA,France,2019,87.91,1607.0,23.237772,5.36638021469116
GBR,United Kingdom,2017,83.3,1265.0,21.281067999999998,5.45256996154785
GBR,United Kingdom,2018,82.74000000000001,1265.0,21.316836000000002,5.20437002182007
GBR,United Kingdom,2019,84.47,1265.0,21.440368,5.26115989685059
